series,p_GeV_c,sigma_dcaxy_cm,sigma_error_cm
3 PXL layers only,4.58699,0.00245111,
3 PXL layers only,4.60699,0.00245111,
3 PXL layers only,4.62699,0.00245111,
3 PXL layers only,4.64699,0.00245111,
3 PXL layers only,4.66699,0.00245111,
3 PXL layers only,4.72699,0.00245111,
3 PXL layers only,4.74699,0.00245111,
3 PXL layers only,4.76699,0.00245111,
3 PXL layers only,4.78699,0.00245111,
3 PXL layers only,4.82699,0.00245111,
3 PXL layers only,4.84699,0.00245111,
3 PXL layers only,4.86699,0.00245111,
3 PXL layers only,4.88699,0.00245111,
3 PXL layers only,4.90699,0.00245111,
3 PXL layers only,4.96699,0.00245111,
3 PXL layers only,4.98699,0.00245111,
sPHENIX simulation red,0.59836,0.00364356,
sPHENIX simulation red,0.86150,0.00298066,
sPHENIX simulation red,1.12451,0.00257445,
sPHENIX simulation red,1.38524,0.00232873,
sPHENIX simulation red,1.91752,0.00203540,
sPHENIX simulation red,2.44752,0.00192265,
sPHENIX simulation red,3.24053,0.00172376,
sPHENIX simulation red,4.30053,0.00168785,
sPHENIX simulation red,4.56674,0.00166581,
sPHENIX simulation red,5.09242,0.00166048,
sPHENIX simulation red,5.36053,0.00161326,
data iterative Gaussian black,0.33250,0.00782276,0.00005039
data iterative Gaussian black,0.59750,0.00632418,0.00002865
data iterative Gaussian black,0.86250,0.00572359,0.00002821
data iterative Gaussian black,1.12750,0.00546055,0.00003329
data iterative Gaussian black,1.39250,0.00537674,0.00004262
data iterative Gaussian black,1.65750,0.00531265,0.00005463
data iterative Gaussian black,1.92250,0.00535818,0.00007353
data iterative Gaussian black,2.18750,0.00510867,0.00008201
data iterative Gaussian black,2.45250,0.00539149,0.00012210
data iterative Gaussian black,2.71750,0.00564476,0.00017765
data iterative Gaussian black,2.98250,0.00554440,0.00020711
data iterative Gaussian black,3.24750,0.00514063,0.00020511
data iterative Gaussian black,3.51250,0.00537516,0.00029909
data iterative Gaussian black,3.77750,0.00537127,0.00034366
data iterative Gaussian black,4.04250,0.00606174,0.00059949
data iterative Gaussian black,4.30750,0.00530818,0.00047705
data iterative Gaussian black,4.57250,0.00498504,0.00050533
data iterative Gaussian black,4.83750,0.00654134,0.00120918
data iterative Gaussian black,5.10250,0.00430480,0.00046383
data iterative Gaussian black,5.36750,0.00505999,0.00079581
