#: table_doi: 10.17182/hepdata.95903.v1/t1
#: name: Figure 5
#: description: Centrality selection for STAR FXT sqrt(sNN) = 4.5 GeV Au+Au collisions
#: data_file: fig5.yaml
#: keyword reactions: AU AU --> X
#: keyword cmenergies: 4.5
#: Dataset,STAR FXT $\sqrt{s_{NN}}$ = 4.5 GeV
$N_{charged}$,$dN/dN_{charged}$,stat +,stat -
174.5,5709.755,79.92905,-79.92905
175.5,5656.047,79.55225,-79.55225
176.5,5275.621,76.83033,-76.83033
177.5,5215.2,76.3891,-76.3891
178.5,5190.584,76.20861,-76.20861
179.5,4919.81,74.19422,-74.19422
180.5,4722.883,72.69416,-72.69416
181.5,4540.502,71.27675,-71.27675
182.5,4463.298,70.66818,-70.66818
183.5,4275.323,69.16405,-69.16405
184.5,4161.195,68.23465,-68.23465
185.5,3928.463,66.29905,-66.29905
186.5,3766.223,64.91558,-64.91558
187.5,3543.561,62.96742,-62.96742
188.5,3495.448,62.53849,-62.53849
189.5,3372.369,61.42759,-61.42759
190.5,3260.479,60.39996,-60.39996
191.5,2963.97,57.58811,-57.58811
192.5,2847.604,56.44634,-56.44634
193.5,2748.022,55.45057,-55.45057
194.5,2522.004,53.12132,-53.12132
195.5,2421.303,52.04997,-52.04997
196.5,2289.273,50.61097,-50.61097
197.5,2110.248,48.59177,-48.59177
198.5,1958.078,46.80701,-46.80701
199.5,1840.593,45.38108,-45.38108
200.5,1812.62,45.03492,-45.03492
201.5,1619.051,42.5624,-42.5624
202.5,1570.938,41.92523,-41.92523
203.5,1419.886,39.85866,-39.85866
204.5,1274.429,37.76189,-37.76189
205.5,1197.225,36.60023,-36.60023
206.5,1164.776,36.10083,-36.10083
207.5,1074.145,34.6679,-34.6679
208.5,919.7371,32.07951,-32.07951
209.5,848.1274,30.80537,-30.80537
210.5,785.4689,29.64561,-29.64561
211.5,707.1458,28.12875,-28.12875
212.5,642.2495,26.80698,-26.80698
213.5,580.7099,25.49034,-25.49034
214.5,528.1215,24.30876,-24.30876
215.5,483.3655,23.25593,-23.25593
216.5,416.2314,21.58059,-21.58059
217.5,412.8747,21.4934,-21.4934
218.5,337.9083,19.44444,-19.44444
219.5,340.1461,19.50871,-19.50871
220.5,273.012,17.4778,-17.4778
221.5,256.2285,16.93205,-16.93205
222.5,218.1858,15.62461,-15.62461
223.5,196.9267,14.84391,-14.84391
224.5,170.073,13.79474,-13.79474
225.5,149.9328,12.95222,-12.95222
226.5,137.6249,12.40922,-12.40922
227.5,129.7926,12.05094,-12.05094
228.5,109.6524,11.07656,-11.07656
229.5,97.34443,10.43642,-10.43642
230.5,95.10663,10.31576,-10.31576
231.5,71.6097,8.951212,-8.951212
232.5,66.01519,8.594446,-8.594446
233.5,58.18288,8.068514,-8.068514
234.5,57.06398,7.990555,-7.990555
235.5,41.39936,6.806012,-6.806012
236.5,40.28046,6.713409,-6.713409
237.5,35.80485,6.329463,-6.329463
238.5,17.90242,4.475606,-4.475606
239.5,22.37803,5.00388,-5.00388
240.5,16.78352,4.333487,-4.333487
241.5,20.14023,4.747097,-4.747097
242.5,10.07011,3.356705,-3.356705
243.5,15.66462,4.186546,-4.186546
244.5,8.951212,3.164731,-3.164731
245.5,8.951212,3.164731,-3.164731
246.5,12.30792,3.710977,-3.710977
247.5,12.30792,3.710977,-3.710977
248.5,7.832311,2.960335,-2.960335
249.5,6.713409,2.740738,-2.740738
250.5,1.118902,1.118902,-1.118902
251.5,2.237803,1.582366,-1.582366
252.5,5.594508,2.50194,-2.50194
253.5,3.356705,1.937994,-1.937994
254.5,2.237803,1.582366,-1.582366
255.5,3.356705,1.937994,-1.937994
256.5,,0,0
257.5,2.237803,1.582366,-1.582366
258.5,1.118902,1.118902,-1.118902
259.5,,0,0
260.5,1.118902,1.118902,-1.118902
261.5,2.237803,1.582366,-1.582366
262.5,,0,0
263.5,1.118902,1.118902,-1.118902
264.5,,0,0
265.5,,0,0
266.5,,0,0
267.5,,0,0
268.5,,0,0
269.5,,0,0
270.5,,0,0
271.5,,0,0
272.5,,0,0
273.5,,0,0
274.5,,0,0
275.5,,0,0
276.5,,0,0
277.5,,0,0
278.5,,0,0
279.5,,0,0
280.5,,0,0
281.5,,0,0
282.5,,0,0
283.5,,0,0
284.5,,0,0
285.5,,0,0
286.5,,0,0
287.5,,0,0
288.5,,0,0
289.5,,0,0
290.5,,0,0
291.5,,0,0
292.5,,0,0
293.5,,0,0
294.5,,0,0
295.5,,0,0
296.5,,0,0
297.5,,0,0
298.5,,0,0
299.5,,0,0
300.5,,0,0
301.5,,0,0
302.5,,0,0
303.5,,0,0
304.5,,0,0
305.5,,0,0
306.5,,0,0
307.5,,0,0
308.5,,0,0
309.5,,0,0
310.5,,0,0
311.5,,0,0
312.5,,0,0
313.5,,0,0
314.5,,0,0
315.5,,0,0
316.5,,0,0
